HOSPITAL,TYPEOFHOSP
Mount Alvernia Hospital,Private Hospital
Mount Elizabeth Hospital,Private Hospital
Mount Elizabeth Novena Hospita,Private Hospital
Orthe Pte Ltd,Private Hospital
Other Private Medical Inst,Private Hospital
Pacific Healthcare Specialist,Private Hospital
Pacific Specialist Practice,Private Hospital
Parkway Shenton Pte Ltd,Private Hospital
Raffles Hospital,Private Hospital
Raffles Medical Group,Private Hospital
RafflesMedical,Private Hospital
SuperSight Lasik Centre,Private Hospital
Thomson Medical Centre,Private Hospital
Thomson Medical Pte. Ltd,Private Hospital
THOMSON PAEDIATRIC CENTRE,Private Hospital
THOMSON WOMEN CANCER CENTRE,Private Hospital
Tucker Medical,Private Hospital
Westpoint Family Hospital,Private Hospital
Westpoint Family Hospital Pte,Private Hospital
WOMEN'S CLINIC OF SINGAPORE,Private Hospital
Cheng Clinic For Women Pte Ltd,Private Hospital
Pristine Medical Clinic,Private Hospital
Alexandra Hospital (Outpatient,Private Hospital
Gleneagles (CGH Dengue Collab),Private Hospital
Alexandra Day Hospital,Public Hospital
Alexandra Hospital,Public Hospital
Changi General Hospital Pte Lt,Public Hospital
Changi Hospital (Outpatient),Public Hospital
JOHN HOPKINS SINGAPORE INTERNA,Public Hospital
Khoo Teck Puat Hospital,Public Hospital
National University Hospital,Public Hospital
National University Hospital (,Public Hospital
Other Govt Medical Institution,Public Hospital
Singapore General Hospital Pte,Public Hospital
Singhealth Polyclinic,Public Hospital
Tan Tock Seng Hospital (Inpati,Public Hospital
Tan Tock Seng Hospital (Outpat,Public Hospital
Institute of Mental Health/Woo,Public Hospital
National Cancer Centre,Public Hospital
National Dental Centre,Public Hospital
National Healthcare Group Poly,Public Hospital
National Skin Centre,Public Hospital
Singapore Medical Specialists,Public Hospital
Singapore National Eye Centre,Public Hospital
Singapore Oncology Consultants,Public Hospital
Singapore Sports and Orthopaed,Public Hospital
H L KONG MEDICAL ONCOLOGY CENT,Private Hospital
H L Kong Medical Oncology Pte,Private Hospital
Heah Colorectal Endoscopy and,Private Hospital
Ho Kok Sun Colorectal Pte Ltd,Private Hospital
Heah Endoscopy & Piles Centre,Private Hospital
Dermatology Associates,Private Hospital
JAMES TAN CENTRE FOR UROLOGY &,Private Hospital
Karmen Wong Medical Oncology C,Private Hospital
Nyam Endoscopy Centre,Private Hospital
Orthopaedic & Arthritis Centre,Private Hospital
Seow-Choen Colorectal Centre P,Private Hospital
The Oncology Centre,Private Hospital
The Dermatology Practice Skin.,Private Hospital
Medicare Associates,Private Hospital
Renal Therapy Centre Pte Ltd,Private Hospital
THE HARLEY STREET CLINIC HEART,Private Hospital
Gynecology Consultants Clinic,Private Hospital
Png Urology,Private Hospital
Specialist Skin Clinic(s) Pte,Private Hospital
Children & Adult Skin Hair,Private Hospital
The Oral Maxillofacial Practic,Private Hospital
Thomson Specialist Skin Centre,Private Hospital
P S Lui Clinic & Surgery for W,Private Hospital
Pacific Endoscopic & Day Surge,Private Hospital
ADVANCE SURGICAL GROUP PTE. LT,Private Hospital
AESTHETIC SURGICAL GROUP,Private Hospital
GS HONG SURGICAL CARE,Private Hospital
HK FAMILY CLINIC AND SURGERY P,Private Hospital
Lim Clinic & Surgery,Private Hospital
Novena Surgery,Private Hospital
Orchard Surgery Center,Private Hospital
Pacific Surgical and Endoscopy,Private Hospital
Specialist Surgery And Laser C,Private Hospital
Tan Teoh Clinic & Surgery,Private Hospital
The Breast Surgery Centre,Private Hospital
The Lasik Surgery Clinic,Private Hospital
The Vein Clinic & Surgery Pte,Private Hospital
THOMAS CLINIC & SURGERY,Private Hospital
Wee Breast & General Surgery P,Private Hospital
C K Yong Surgery & Breast Clin,Private Hospital
Yap & Ang Surgical Associates,Private Hospital
Healthwise Medical Clinic & Su,Private Hospital
